Frente,Módulo,Aula,Nome,Tempo,Relevância
Frente A - Filosofia Antiga,,,,,
A,1,1,Mito e Filosofia,00:22:33,1
A,1,2,Pré-socráticos I,00:21:16,2
A,1,3,Pré-socráticos II,00:35:30,3
A,1,4,Sofistas,00:22:20,4
A,2,5,Sócrates,00:14:58,5
A,2,6,Platão I,00:36:58,1
A,2,7,Platão II,00:30:50,2
A,2,8,Aristóteles - Vida e Obra,00:19:09,3
A,2,9,Aristóteles - Metafísica,00:29:04,4
A,2,10,Aristóteles - Ética,00:10:45,5
A,2,11,Aristóteles - Política,00:12:45,1
A,3,12,Helenística - Características Gerais,00:12:43,2
A,3,13,Estoicismo I,00:09:33,3
A,3,14,Estoicismo II,00:11:25,4
A,3,15,Estoicisimo III,00:10:57,5
A,3,16,Epicurismo I,00:11:08,1
A,3,17,Epicurismo II,00:10:43,2
A,3,18,Cínicos,00:13:45,3
A,3,19,Céticos,00:27:03,4
,,,,,
Frente B - Filosofia Medieval,,,,,
B,1,1,O que foi a Patrística?,00:22:22,1
B,1,2,O pensamento de Agostinho I,00:16:17,2
B,1,3,O pensamento de Agostinho II,00:22:47,3
B,2,4,O pensamento de Aquino I,00:16:34,4
B,2,5,O pensamento de Aquino II,00:14:49,5
,,,,,
Frente C - Filosofia Renascentista e Moderna,,,,,
C,1,1,Erasmo de Rotterdam,00:13:00,1
C,1,2,Maquiavel - Conceitos Fundamentais,00:21:01,2
C,1,3,Francis Bacon,00:19:01,3
C,2,4,Filosofia Moderna,00:16:06,4
C,2,5,Racionalistas,00:14:03,5
C,2,6,Empiristas,00:16:27,1
C,2,7,Descartes I,00:20:28,2
C,2,8,Descartes II,00:25:09,3
C,2,9,David Hume I,00:13:18,4
C,2,10,David Hume II,00:16:44,5
C,2,11,David Hume III,00:19:13,1
C,2,12,Jeremy Benthan,00:13:50,2
C,3,13,Kant 1,00:25:15,3
C,3,14,Kant 2,00:14:02,4
C,3,15,Kant 3,00:29:27,5
C,3,16,Kant - Ética,00:27:20,1
C,3,17,Hegel,00:22:55,2
C,4,18,O que foi o Contratualismo,00:08:24,3
C,4,19,Hobbes I,00:07:18,4
C,4,20,Hobbes II,00:11:19,5
C,4,21,Locke I,00:10:21,1
C,4,22,Locke II,00:14:44,2
C,4,23,Locke III,00:13:14,3
C,4,24,Rousseau I,00:14:15,4
C,4,25,Rousseau II,00:11:25,5
C,4,26,Rousseau III,00:10:55,1
,,,,,
Frente D - Filosofia Contemporânea,,,,,
D,1,1,Nietzsche - A Genealogia da Moral,00:17:49,1
D,1,2,Nietzsche - A Moral do Senhor,00:08:03,2
D,1,3,Nietzsche - A Moral do Escravo,00:15:48,3
D,1,4,Nietzsche – O Além do Homem,00:13:07,4
D,2,5,Wittgenstein,00:17:56,5
D,3,6,Hannah Arendt - Origem do Totalitarismo I,00:13:53,1
D,3,7,Hannah Arendt - Origem do Totalitarismo II,00:06:43,2
D,3,8,Hannah Arendt - Banalidade do Mal,00:11:37,3
D,3,9,Hannah Arendt - Verdade e Política,00:06:44,4
D,3,10,Habermas,00:40:23,5
D,4,11,Thomás Kuhn,00:25:58,1
D,4,12,Karl Popper,00:35:12,2
,,,,,
Frente E - Filosofia Decolonial,,,,,
E,1,1,Ailton Krenak,00:36:23,1
